status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Declined,2,-1.199392254,0.192136329,2.060482147,0,1,1,,9/20/2019 17:03,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.016991648,1.047101628,0,1,1,,10/21/2019 20:20,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,-0.592093585,2.060482147,25000,120000,95000,,9/29/2019 12:21,pending,H,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.199392254,0.192136329,-0.675645252,0,1,1,,9/10/2019 14:47,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,-0.592093585,0.641749421,50000,126000,76000,,8/12/2019 18:09,pending,H,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Declined,2,-1.199392254,-0.330683613,0.743087473,0,1,1,,10/23/2019 16:01,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.199392254,0.192136329,1.14843968,0,25000,25000,,7/22/2019 11:34,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.199392254,-1.507028483,-1.182335511,0,1,1,,9/20/2019 18:20,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.644375579,1.14843968,0,1,1,,10/25/2019 18:03,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.853503556,-0.776983304,0,1,1,,10/9/2019 14:28,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
